subject,task_type,octave,ioi,subj_accuracy,subj_perc_resp_early,accuracy,perc_resp_early,subj_hit_rate,subj_fa_rate,hit_rate,fa_rate,subj_dprime,subj_C,dprime,C
41,1,3,400,0.8020833333333334,0.6493055555555556,0.6875,0.8125,0.6517241379310345,0.05172413793103448,0.38,0.02,2.018340881949889,0.6191909657419623,1.7482681225324255,1.1796148493656102
41,1,3,600,0.8020833333333334,0.6493055555555556,0.8125,0.6458333333333334,0.6517241379310345,0.05172413793103448,0.66,0.06,2.018340881949889,0.6191909657419623,1.9672367240382584,0.5711552325777243
41,1,5,400,0.8020833333333334,0.6493055555555556,0.8125,0.6875,0.6517241379310345,0.05172413793103448,0.62,0.02,2.018340881949889,0.6191909657419623,2.3592296987312205,0.8741340612662127
41,1,5,600,0.8020833333333334,0.6493055555555556,0.8125,0.6458333333333334,0.6517241379310345,0.05172413793103448,0.66,0.06,2.018340881949889,0.6191909657419623,1.9672367240382584,0.5711552325777243
41,1,7,400,0.8020833333333334,0.6493055555555556,0.8541666666666666,0.6041666666666666,0.6517241379310345,0.05172413793103448,0.74,0.06,2.018340881949889,0.6191909657419623,2.1981189999897706,0.45571409460196827
41,1,7,600,0.8020833333333334,0.6493055555555556,0.8333333333333334,0.5,0.6517241379310345,0.05172413793103448,0.82,0.18,2.018340881949889,0.6191909657419623,1.8307301756856278,1.1102230246251565e-16
43,1,3,400,0.8159722222222222,0.6006944444444444,0.8125,0.6875,0.7137931034482758,0.08620689655172414,0.62,0.02,1.92898890551053,0.39999429541506343,2.3592296987312205,0.8741340612662127
43,1,3,600,0.8159722222222222,0.6006944444444444,0.8333333333333334,0.625,0.7137931034482758,0.08620689655172414,0.7,0.06,1.92898890551053,0.39999429541506343,2.079174107304894,0.5151865409444064
43,1,5,400,0.8159722222222222,0.6006944444444444,0.7708333333333334,0.6458333333333334,0.7137931034482758,0.08620689655172414,0.62,0.1,1.92898890551053,0.39999429541506343,1.5870323536439979,0.4880353887226015
43,1,5,600,0.8159722222222222,0.6006944444444444,0.8333333333333334,0.5833333333333334,0.7137931034482758,0.08620689655172414,0.74,0.1,1.92898890551053,0.39999429541506343,1.9248969709375174,0.3191030800758417
43,1,7,400,0.8159722222222222,0.6006944444444444,0.8958333333333334,0.4791666666666667,0.7137931034482758,0.08620689655172414,0.9,0.14,1.92898890551053,0.39999429541506343,2.361870906359556,-0.10061611236482226
43,1,7,600,0.8159722222222222,0.6006944444444444,0.75,0.5833333333333334,0.7137931034482758,0.08620689655172414,0.66,0.18,1.92898890551053,0.39999429541506343,1.3278282172842188,0.2514509792007045
56,1,3,400,0.5763888888888888,0.4722222222222222,0.4375,0.4791666666666667,0.603448275862069,0.4517241379310345,0.46,0.58,0.38358926024517775,-0.07048813526903289,-0.3023271996533205,-0.0507298793151905
56,1,3,600,0.5763888888888888,0.4722222222222222,0.6458333333333334,0.3958333333333333,0.603448275862069,0.4517241379310345,0.74,0.46,0.38358926024517775,-0.07048813526903289,0.7437791259043867,-0.2714558424407236
56,1,5,400,0.5763888888888888,0.4722222222222222,0.6041666666666666,0.4791666666666667,0.603448275862069,0.4517241379310345,0.62,0.42,0.38358926024517775,-0.07048813526903289,0.5073742672412482,-0.05179365447877325
56,1,5,600,0.5763888888888888,0.4722222222222222,0.5625,0.4791666666666667,0.603448275862069,0.4517241379310345,0.58,0.46,0.38358926024517775,-0.07048813526903289,0.3023271996533205,-0.0507298793151905
56,1,7,400,0.5763888888888888,0.4722222222222222,0.625,0.5,0.603448275862069,0.4517241379310345,0.62,0.38,0.38358926024517775,-0.07048813526903289,0.6109615761987948,-0.0
56,1,7,600,0.5763888888888888,0.4722222222222222,0.5833333333333334,0.5,0.603448275862069,0.4517241379310345,0.58,0.42,0.38358926024517775,-0.07048813526903289,0.4037869582837016,6.938893903907228e-17
58,1,3,400,0.5,0.375,0.5208333333333334,0.7708333333333334,0.6241379310344828,0.6241379310344828,0.26,0.22,0.0,-0.31636676789705076,0.12884780879576785,0.7077693097908009
58,1,3,600,0.5,0.375,0.5,0.9166666666666666,0.6241379310344828,0.6241379310344828,0.1,0.1,0.0,-0.31636676789705076,0.0,1.2815515655446004
58,1,5,400,0.5,0.375,0.4791666666666667,0.1875,0.6241379310344828,0.6241379310344828,0.78,0.82,0.0,-0.31636676789705076,-0.14317187365412898,-0.8437791510157493
58,1,5,600,0.5,0.375,0.4791666666666667,0.22916666666666666,0.6241379310344828,0.6241379310344828,0.74,0.78,0.0,-0.31636676789705076,-0.12884780879576785,-0.7077693097908009
58,1,7,400,0.5,0.375,0.5,0.041666666666666664,0.6241379310344828,0.6241379310344828,0.94,0.94,0.0,-0.31636676789705076,0.0,-1.5547735945968535
58,1,7,600,0.5,0.375,0.5208333333333334,0.10416666666666667,0.6241379310344828,0.6241379310344828,0.9,0.86,0.0,-0.31636676789705076,0.20123222472964453,-1.180935453179778
61,0,3,400,0.5104166666666666,0.5520833333333334,0.5208333333333334,0.7291666666666666,0.4586206896551724,0.4379310344827586,0.3,0.26,0.05230764980993914,0.13006305864834847,0.11894489268487607,0.583872959050479
61,0,3,600,0.5104166666666666,0.5520833333333334,0.5416666666666666,0.4583333333333333,0.4586206896551724,0.4379310344827586,0.58,0.5,0.05230764980993914,0.13006305864834847,0.20189347914185074,-0.10094673957092537
61,0,5,400,0.5104166666666666,0.5520833333333334,0.5208333333333334,0.5625,0.4586206896551724,0.4379310344827586,0.46,0.42,0.05230764980993914,0.13006305864834847,0.10145975863038113,0.1511635998266603
61,0,5,600,0.5104166666666666,0.5520833333333334,0.4583333333333333,0.4166666666666667,0.4586206896551724,0.4379310344827586,0.54,0.62,0.05230764980993914,0.13006305864834847,-0.2050470675879275,-0.20295725430543363
61,0,7,400,0.5104166666666666,0.5520833333333334,0.5416666666666666,0.625,0.4586206896551724,0.4379310344827586,0.42,0.34,0.05230764980993914,0.13006305864834847,0.21056965029955385,0.3071783042916278
61,0,7,600,0.5104166666666666,0.5520833333333334,0.4791666666666667,0.5208333333333334,0.4586206896551724,0.4379310344827586,0.46,0.5,0.05230764980993914,0.13006305864834847,-0.10043372051146975,0.05021686025573487
60,0,3,400,0.5034722222222222,0.4965277777777778,0.5,0.7083333333333334,0.506896551724138,0.5,0.3,0.3,0.017287952661839023,-0.008643976330919512,0.0,0.5244005127080409
